iter	Passed	Remaining
985	24730	25432
986	24753	25405
987	24775	25377
988	24796	25348
989	24818	25319
990	24840	25291
991	24864	25265
992	24885	25236
993	24908	25209
994	24934	25184
995	24955	25155
996	24976	25126
997	25001	25101
998	25022	25072
999	25043	25043
1000	25065	25014
1001	25087	24986
1002	25115	24965
1003	25143	24943
1004	25168	24918
1005	25191	24890
1006	25214	24863
1007	25236	24836
1008	25261	24810
1009	25285	24785
1010	25309	24758
1011	25331	24730
1012	25352	24701
1013	25376	24675
1014	25403	24652
1015	25426	24625
1016	25450	24599
1017	25471	24570
1018	25497	24546
1019	25520	24520
1020	25541	24491
1021	25565	24464
1022	25586	24435
1023	25612	24411
1024	25637	24386
1025	25659	24359
1026	25684	24334
1027	25708	24307
1028	25732	24282
1029	25755	24255
1030	25778	24228
1031	25798	24198
1032	25821	24171
1033	25844	24144
1034	25869	24120
1035	25896	24096
1036	25921	24071
1037	25946	24046
1038	25971	24022
1039	25994	23995
1040	26017	23967
1041	26040	23941
1042	26062	23913
1043	26084	23885
1044	26109	23860
1045	26132	23833
1046	26157	23808
1047	26181	23783
1048	26206	23758
1049	26230	23732
1050	26255	23707
1051	26277	23679
1052	26303	23655
1053	26327	23629
1054	26350	23602
1055	26374	23577
1056	26399	23552
1057	26424	23527
1058	26448	23501
1059	26470	23473
1060	26492	23445
1061	26514	23418
1062	26535	23390
1063	26556	23361
1064	26577	23333
1065	26599	23305
1066	26620	23277
1067	26645	23252
1068	26666	23223
1069	26687	23195
1070	26711	23170
1071	26735	23143
1072	26756	23115
1073	26781	23090
1074	26800	23061
1075	26823	23034
1076	26847	23008
1077	26871	22982
1078	26892	22954
1079	26915	22928
1080	26939	22902
1081	26963	22876
1082	26987	22851
1083	27010	22824
1084	27032	22796
1085	27056	22771
1086	27079	22744
1087	27101	22717
1088	27127	22693
1089	27150	22667
1090	27172	22639
1091	27191	22609
1092	27210	22579
1093	27234	22554
1094	27256	22526
1095	27277	22499
1096	27304	22475
1097	27326	22448
1098	27351	22423
1099	27370	22393
1100	27389	22364
1101	27413	22338
1102	27449	22323
1103	27477	22300
1104	27500	22273
1105	27524	22248
1106	27546	22221
1107	27570	22195
1108	27591	22167
1109	27615	22142
1110	27639	22116
1111	27663	22091
1112	27687	22065
1113	27708	22037
1114	27731	22010
1115	27752	21983
1116	27778	21958
1117	27801	21932
1118	27822	21905
1119	27844	21877
1120	27865	21849
1121	27884	21820
1122	27905	21792
1123	27925	21764
1124	27946	21736
1125	27967	21708
1126	27987	21679
1127	28008	21651
1128	28027	21622
1129	28052	21598
1130	28073	21570
1131	28096	21543
1132	28117	21516
1133	28137	21487
1134	28157	21459
1135	28177	21430
1136	28196	21401
1137	28222	21377
1138	28245	21351
1139	28270	21327
1140	28295	21301
1141	28318	21275
1142	28340	21249
1143	28365	21224
1144	28389	21198
1145	28411	21172
1146	28434	21145
1147	28456	21119
1148	28480	21094
1149	28504	21068
1150	28527	21042
1151	28550	21016
1152	28572	20989
1153	28597	20964
1154	28617	20936
1155	28640	20910
1156	28663	20884
1157	28688	20859
1158	28711	20833
1159	28731	20805
1160	28755	20780
1161	28773	20750
1162	28795	20724
1163	28815	20695
1164	28838	20669
1165	28860	20642
1166	28885	20618
1167	28910	20593
1168	28935	20569
1169	28959	20543
1170	28980	20516
1171	29003	20490
1172	29024	20463
1173	29046	20436
1174	29067	20409
1175	29092	20384
1176	29116	20359
1177	29139	20333
1178	29163	20308
1179	29185	20281
1180	29206	20254
1181	29229	20227
1182	29250	20201
1183	29272	20174
1184	29295	20148
1185	29317	20122
1186	29339	20095
1187	29361	20068
1188	29383	20042
1189	29407	20016
1190	29425	19987
1191	29446	19960
1192	29466	19932
1193	29490	19907
1194	29511	19879
1195	29532	19852
1196	29554	19826
1197	29574	19798
1198	29596	19771
1199	29617	19745
1200	29640	19718
1201	29663	19693
1202	29685	19666
1203	29708	19641
1204	29731	19615
1205	29757	19591
1206	29777	19563
1207	29796	19535
1208	29818	19508
1209	29839	19482
1210	29861	19455
1211	29883	19429
1212	29906	19403
1213	29931	19379
1214	29955	19353
1215	29977	19327
1216	30001	19302
1217	30025	19277
1218	30044	19248
1219	30068	19224
1220	30092	19198
1221	30115	19173
1222	30141	19149
1223	30166	19125
1224	30189	19099
1225	30214	19074
1226	30233	19046
1227	30254	19019
1228	30276	18993
1229	30301	18969
1230	30321	18941
1231	30341	18914
1232	30361	18886
1233	30382	18859
1234	30401	18831
1235	30424	18806
1236	30444	18778
1237	30471	18755
1238	30496	18731
1239	30518	18705
1240	30544	18680
1241	30569	18656
1242	30593	18631
1243	30618	18607
1244	30642	18582
1245	30666	18557
1246	30688	18531
